player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Quintin Morris,61182,TE,JAX,1,1,0,15,,0,,,0,0,,0,0.44,0,0,,59.9,0,0,50.0,1,2,50.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,0,10.0,0,100.0,,0,0,0.0,0,0.04,1,0,64.7,86.0,0,14,0.0,0,2,50.0,1,100.0,2,118.8,1,50.0,0,14,4,4.0,14.0,7.0
Isaiah Williams,97156,WR,NYJ,1,1,0,22,6.0,0,0.0,,0,0,,0,-0.55,0,0,,53.5,0,0,0.0,0,7,42.9,0,100.0,7,39.6,1,14.3,0,0,0,,,0.0,0,,0,,,0,0,,0,-0.14,0,0,,53.1,0,0,0.0,0,10,40.0,0,100.0,10,0.0,0,0.0,0,0,0,,,0.0
Charlie Kolar,60917,TE,BLT,1,1,0,3,14.0,0,100.0,,0,0,0.0,0,1.36,1,0,64.7,89.7,0,17,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,17,3,3.0,17.0,8.5,0,,0,,,0,0,,0,0.17,0,0,,56.1,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jordan Whittington,97623,WR,LA,1,1,0,26,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0.95,0,0,,58.0,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Luke Musgrave,98499,TE,GB,1,1,0,12,21.0,0,100.0,,0,0,0.0,0,0.43,1,0,64.7,87.7,0,23,14.3,1,7,42.9,1,85.7,6,118.8,1,16.7,0,23,2,2.0,23.0,3.83,0,,0,,,0,0,,0,1.28,0,0,,50.9,0,0,0.0,0,7,85.7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Jared Wiley,98508,TE,KC,1,1,0,16,-4.0,0,100.0,,0,0,0.0,0,0.73,1,0,64.7,75.4,0,4,33.3,1,3,66.7,1,66.7,2,83.3,1,50.0,0,4,8,8.0,4.0,2.0,0,,0,,,0,0,,0,0.39,0,0,,54.3,0,0,0.0,0,4,25.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Trevor Etienne,157730,HB,CAR,1,1,0,5,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,1.0,0,100.0,,0,0,0.0,0,-0.01,0,0,64.7,65.2,0,4,0.0,0,1,0.0,1,100.0,1,83.3,1,100.0,0,4,3,3.0,4.0,4.0
Travis Etienne Jr.,57185,HB,JAX,1,1,0,15,,0,,,0,0,,0,-0.14,0,0,,57.1,0,0,40.0,2,5,20.0,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0,0,-4.0,1,100.0,,0,0,0.0,0,-0.08,1,0,68.3,77.4,0,13,9.1,1,11,44.4,1,72.7,8,118.8,1,12.5,0,13,17,17.0,13.0,1.63
Zavier Scott,55123,HB,MIN,1,1,0,18,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,-2.0,0,100.0,,0,0,0.0,0,-0.95,0,0,64.7,58.4,0,4,0.0,0,5,20.0,1,100.0,5,83.3,1,20.0,0,4,6,6.0,4.0,0.8
Davis Allen,99697,TE,LA,1,1,0,26,-5.0,0,100.0,,0,0,0.0,0,0.82,0,0,64.7,61.3,0,4,0.0,0,2,50.0,1,100.0,2,83.3,1,50.0,0,4,9,9.0,4.0,2.0,0,,0,,,0,0,,0,-1.51,0,0,,51.8,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Josh Whyle,54037,TE,GB,1,1,0,12,4.0,0,0.0,,0,0,,0,0.73,0,0,,48.3,0,0,14.3,2,14,66.7,0,71.4,10,39.6,1,10.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0.74,0,0,,52.8,0,0,25.0,2,8,62.5,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Isaiah Hodgins,52130,WR,NYG,1,1,0,21,,0,,,0,0,,0,-0.7,0,0,,54.7,0,0,0.0,0,9,28.6,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,100.0,,0,0,0.0,0,-0.07,0,0,64.7,53.0,0,4,0.0,0,19,44.4,1,94.7,18,83.3,1,5.6,0,4,0,0.0,4.0,0.22
Anthony Firkser,51837,TE,DET,1,1,0,11,,0,,,0,0,,0,-0.86,0,0,,57.8,0,0,33.3,1,3,33.3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,100.0,100.0,1,1,0.0,0,0.14,0,0,64.7,57.8,0,4,0.0,0,5,40.0,1,100.0,5,83.3,1,20.0,0,4,0,0.0,4.0,0.8
