player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Peter Woods,170034,DI,KC,1,1,0,16,70.5,0,1,15,100.0,6.7,1,0,3.3,0,17,17,1,0,53.3,0,1,9,100.0,0.0,0,5.6,0,9,9,1
Rueben Bain Jr.,170082,ED,TB,1,0,0,30,47.6,0,0,24,88.9,0.0,0,0,0.0,0,27,24,0,0,49.3,0,0,11,91.7,0.0,0,0.0,0,12,11,0
Arvell Reese,170264,LB,NYG,1,0,0,21,67.4,0,1,4,12.2,25.0,1,0,12.5,0,41,5,1,0,68.7,0,1,3,11.1,33.3,1,16.7,0,27,3,1
Brandon Cisse,170368,CB,GB,1,1,0,12,60.0,0,0,1,3.6,0.0,0,0,0.0,0,28,1,0,0,,0,0,0,0.0,,0,,0,14,0,0
Skyler Gill-Howard,171308,DI,DET,1,0,0,11,59.3,0,2,29,86.1,6.9,2,0,3.4,0,36,31,2,0,62.5,0,0,12,76.5,16.7,2,0.0,0,17,13,0
Keith Abney II,171875,CB,DET,1,0,0,11,50.1,0,0,4,19.0,0.0,0,1,0.0,0,21,4,0,0,52.4,0,0,2,16.7,0.0,0,0.0,0,12,2,0
Caleb Downs,172375,S,DAL,1,0,0,9,81.1,0,0,2,6.5,0.0,0,0,50.0,1,31,2,1,0,84.7,0,0,1,7.7,0.0,0,100.0,1,13,1,1
Keldric Faulk,172447,ED,TEN,1,0,0,31,51.9,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,56.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Anthony Hill Jr.,173158,LB,TEN,1,0,0,31,67.9,0,1,2,7.1,0.0,0,0,25.0,0,28,2,1,0,67.9,0,1,2,12.5,0.0,0,25.0,0,16,2,1
Josiah Trotter,173191,LB,TB,1,0,0,30,62.3,0,0,8,24.2,12.5,1,0,12.5,1,33,8,1,0,69.9,0,0,3,20.0,33.3,1,33.3,1,15,3,1
Dillon Thieneman,174971,S,CHI,1,0,0,6,55.6,1,0,2,4.3,0.0,0,0,25.0,0,46,2,1,0,58.2,1,0,1,4.8,0.0,0,50.0,0,21,1,1
