player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Roquan Smith,50892,LB,BLT,1,3,0,50.0,0,0,3,0,0,93.0,91.4,75.1,53.9,49.2,63.4,1,0,0,1,8,8.3,1,1,0,16.7,3,0,0,52,0,31,54,0,0,0,0,0,0,54,4,19,2,4,8,0,6,1,0,11,6,3.7
Tremaine Edmunds,50905,LB,NYG,1,0,0,100.0,0,0,21,0,0,71.7,73.8,75.2,55.1,68.6,81.0,0,1,0,0,13,0.0,0,0,0,93.8,6,0,0,54,0,38,58,0,0,0,0,0,0,58,3,17,4,5,7,0,6,1,0,39,25,6.5
Robert Spillane,50918,LB,NE,1,1,0,80.0,0,0,19,0,0,42.8,51.4,76.7,67.9,64.9,67.1,0,1,0,0,13,11.1,1,0,0,91.7,4,0,0,45,0,25,50,0,0,0,0,0,0,50,3,22,5,4,7,0,5,1,0,30,19,7.5
Bobby Okereke,50954,LB,CAR,1,1,0,100.0,0,1,5,0,0,67.3,60.9,74.2,80.7,47.6,81.2,0,1,0,0,19,0.0,0,0,0,150.0,4,0,0,64,0,27,66,0,0,0,0,0,0,66,4,35,2,1,4,1,4,1,1,42,30,10.5
Frankie Luvu,51028,LB,WAS,1,2,0,100.0,0,0,32,0,0,56.4,49.8,73.2,66.7,44.0,77.6,0,1,0,0,8,0.0,0,0,0,93.8,2,1,0,28,0,15,29,1,0,0,1,0,0,28,4,10,0,1,0,0,2,2,0,13,3,6.5
Jahlani Tavai,51055,LB,JAX,1,1,0,,0,0,15,0,0,50.7,51.9,66.8,60.0,63.5,29.7,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,6,0,2,6,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,
Julian Love,51081,S,SEA,1,1,0,0.0,0,0,29,0,0,89.3,89.9,78.2,38.4,69.7,66.7,0,1,0,1,,16.7,1,0,0,0.0,0,0,0,12,0,41,71,3,0,0,3,0,50,68,3,27,6,3,4,2,1,1,0,0,0,
Marcelino McCrary-Ball,51112,LB,NYJ,1,0,0,,0,0,22,0,0,62.5,60.6,68.2,56.5,,,0,1,0,0,,,0,0,0,0.0,0,0,0,5,0,3,5,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,
P.J. Locke,51189,S,DAL,1,1,0,100.0,0,0,9,0,0,42.5,33.0,72.2,,51.2,31.9,0,0,0,0,12,33.3,1,0,0,116.7,1,0,0,5,0,20,28,0,0,0,0,0,20,28,0,8,3,0,1,0,1,0,0,12,0,12.0
Minkah Fitzpatrick,51206,S,NYJ,1,0,0,,0,0,22,0,0,61.8,62.6,70.9,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,4,6,0,0,0,0,0,3,6,0,2,2,0,0,0,0,0,0,0,0,
Fred Warner,51222,LB,SF,1,5,0,66.7,0,1,28,0,0,85.3,91.1,76.3,52.8,88.4,84.6,0,0,0,0,16,0.0,0,1,0,91.0,2,0,0,45,0,27,53,7,0,0,7,0,0,46,3,23,1,2,7,0,3,0,0,24,16,12.0
Drue Tranquill,51276,LB,KC,1,4,0,0.0,0,0,16,0,0,68.9,76.3,76.2,50.5,82.0,79.9,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,39,0,26,50,9,0,0,9,0,0,41,8,16,2,3,3,0,1,1,0,0,0,
Derwin James Jr.,51368,S,LAC,1,2,0,77.8,0,0,27,0,0,53.7,53.9,76.7,53.3,60.3,47.0,0,1,0,0,10,23.1,3,1,0,123.1,7,0,0,26,1,38,75,5,0,0,5,0,15,70,4,33,28,3,8,0,9,1,1,42,20,6.0
Amani Hooker,51378,S,TEN,1,4,0,100.0,0,0,31,0,0,57.8,67.0,73.7,58.8,76.7,52.4,0,0,0,0,40,16.7,2,0,0,113.9,3,0,0,41,0,27,65,0,0,0,0,0,22,65,1,37,2,2,6,1,3,0,0,34,1,11.3
Marcus Epps,51391,S,PHI,1,1,0,100.0,0,0,24,0,0,72.8,79.9,75.3,,72.7,84.9,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,12,0,31,53,1,0,0,1,0,39,52,0,22,1,1,6,0,1,0,0,8,6,8.0
Jaylinn Hawkins,51423,S,BLT,1,1,0,50.0,0,0,3,0,0,70.8,73.0,74.0,57.9,61.2,79.5,0,0,0,0,2,0.0,0,0,0,56.3,1,0,0,9,0,33,52,2,0,0,2,0,38,50,1,18,3,1,1,0,2,0,0,2,0,2.0
Kaden Elliss,51485,LB,NO,1,1,0,100.0,0,0,20,0,0,73.2,66.1,78.5,71.0,50.4,81.4,2,0,0,0,5,0.0,0,0,0,87.5,1,0,0,60,0,33,77,15,0,0,15,0,0,62,8,36,2,4,9,0,1,2,0,5,1,5.0
