player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Juwan Johnson,28305,TE,NO,1,27.6,0,20,73.4,60.0,75.1,0,1,5,9.1,8.3,90.0,0,1,0,21,0,0,0,76,5,60,0,0,16,30
Tre Tucker,101106,WR,LV,1,41.7,0,23,56.5,,52.6,0,0,0,0.0,0.0,,0,0,0,20,0,0,0,48,0,28,0,0,20,0
Devaughn Vele,100637,WR,NO,1,24.4,0,20,66.3,66.3,56.8,0,0,1,1.7,1.6,100.0,0,0,0,20,0,0,0,82,1,63,0,0,19,0
Matthew Stafford,4924,QB,LA,1,39.2,0,26,41.5,,60.0,0,0,0,0.0,0.0,,0,0,0,20,0,0,0,51,0,29,0,0,20,0
Isaac TeSlaa,172430,WR,DET,1,38.5,0,11,49.1,,51.7,0,0,0,0.0,0.0,,0,0,0,20,0,0,0,52,0,32,0,0,20,0
Trey Pipkins III,91462,T,LAC,1,100.0,0,27,37.1,41.4,38.9,0,0,12,100.0,100.0,91.7,0,1,1,20,0,20,0,20,14,14,0,0,6,0
Chris Brooks,83644,HB,GB,1,52.6,0,12,54.8,38.2,,1,1,20,66.7,66.7,95.0,0,2,0,20,0,0,0,38,20,30,0,0,0,1
Puka Nacua,100632,WR,LA,1,44.2,0,26,76.0,,57.4,0,0,0,0.0,0.0,,0,0,0,19,0,0,0,43,0,24,0,0,19,1
Mark Redman,131911,TE,GB,1,90.5,0,12,54.6,47.4,58.5,0,0,7,77.8,77.8,85.7,0,1,1,19,0,0,0,21,7,9,0,0,12,17
Tyler Warren,129798,TE,IND,1,38.0,1,14,55.2,20.2,62.0,1,0,3,9.1,8.8,83.3,1,1,0,19,0,0,0,50,3,34,0,0,16,23
Tommy Tremble,84025,TE,CAR,1,50.0,0,5,75.8,70.2,71.7,0,0,2,10.0,9.5,100.0,0,0,0,19,0,0,0,38,2,21,0,0,17,28
Noah Fant,42388,TE,NO,1,51.4,0,20,79.6,54.6,64.4,0,1,5,21.7,21.7,90.0,0,1,0,19,0,0,0,37,5,23,0,0,14,30
Cade Stover,101486,TE,HST,1,79.2,0,13,68.8,,68.9,0,0,0,0.0,0.0,,0,0,0,19,0,0,0,24,0,5,0,0,19,19
Demarcus Robinson,10760,WR,SF,1,46.3,1,28,68.2,,75.9,0,0,0,0.0,0.0,,1,0,0,19,0,0,0,41,0,22,0,0,19,0
Theo Benedet,169632,T,CHI,1,100.0,0,6,69.1,81.4,64.7,0,0,5,100.0,100.0,100.0,0,0,0,19,0,0,19,19,6,6,0,0,13,0
Daniel Jones,39395,QB,IND,1,35.2,0,14,53.4,,60.0,0,0,0,0.0,0.0,,1,0,0,19,0,0,0,54,0,35,0,0,19,0
Drew Lock,39517,QB,SEA,1,42.2,0,29,84.1,,60.0,0,0,0,0.0,0.0,,1,0,0,19,0,0,0,45,0,25,0,0,19,0
Dalton Kincaid,91791,TE,BUF,1,42.9,0,4,91.5,69.8,57.5,0,0,1,4.3,4.0,100.0,0,0,0,18,0,0,0,42,1,25,0,0,17,19
Aaron Rodgers,2241,QB,PIT,1,26.9,0,25,80.5,,60.0,0,0,0,0.0,0.0,,1,0,0,18,0,0,0,67,0,46,0,0,18,0
DeVonta Smith,61100,WR,PHI,1,34.6,0,24,75.8,,61.0,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,52,0,34,0,0,18,0
Dontayvion Wicks,99711,WR,PHI,1,36.0,0,24,62.1,,38.6,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,50,0,32,0,0,18,1
Jalen Hurts,40291,QB,PHI,1,32.7,0,24,79.7,,60.0,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,55,0,35,0,0,18,0
Jaxon Smith-Njigba,129758,WR,SEA,1,40.0,0,29,91.2,,58.6,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,45,0,27,0,0,18,0
D.K. Metcalf,47864,WR,PIT,1,28.1,1,25,49.8,,60.4,0,0,0,0.0,0.0,,2,0,0,18,0,0,0,64,0,46,0,0,18,0
Chris Olave,84355,WR,NO,1,23.4,0,20,82.6,,55.7,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,77,0,59,0,0,18,0
Jahan Dotson,84375,WR,ATL,1,47.4,0,2,60.2,,55.5,0,0,0,0.0,0.0,,0,0,0,18,0,0,0,38,0,20,0,0,18,0
