player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Drake Thomas,97525,LB,SEA,1,2,5.2,60.0,88.6,12.3,7.4,0,0,0,0.0,29,32.7,51.2,75.3,78.0,72.5,60.7,0,13,25.0,1,0,0,76.3,3,39,44,1,1,5,0,29,20,0.8,9.7
Quincy Riley,97539,CB,NO,1,0,8.8,55.6,100.0,7.2,4.0,0,0,1,11.1,20,54.8,61.3,78.2,,80.8,27.4,0,22,66.7,2,1,0,114.8,5,36,36,1,1,9,2,58,13,1.6,11.6
Tyrique Stevenson,97562,CB,CHI,1,1,18.0,80.0,97.4,8.8,7.0,0,0,0,0.0,6,39.1,36.8,78.0,60.0,38.4,30.0,0,51,16.7,1,0,0,158.3,4,37,38,0,4,5,2,77,20,2.2,19.3
Josh Wallace,97676,S,LA,1,0,,,100.0,,,0,0,0,,26,65.6,65.9,68.2,,,,0,,,0,0,0,0.0,0,7,7,0,0,0,0,0,0,0.0,
Dorian Williams,97694,LB,BUF,1,0,8.5,100.0,100.0,11.5,11.5,0,0,0,0.0,4,63.1,76.0,74.1,,77.0,70.3,0,16,0.0,0,0,0,106.3,2,26,26,1,2,2,0,19,2,0.8,9.5
Ronnie Hickman Jr.,97702,S,CLV,1,0,41.0,100.0,100.0,25.0,25.0,0,0,0,0.0,8,30.1,41.2,74.4,,75.2,84.8,0,32,0.0,0,0,0,158.3,1,25,25,0,1,1,1,32,0,1.3,32.0
Omar Speights,97723,LB,LA,1,0,0.5,50.0,80.0,11.0,5.5,0,0,0,0.0,26,40.8,49.0,69.9,55.9,63.7,77.2,0,6,,0,0,0,56.3,1,12,15,0,0,2,0,6,9,0.5,6.0
Javon Solomon,97821,ED,BUF,1,0,,,80.0,,,0,0,0,,4,63.2,65.2,71.8,59.1,62.5,69.9,0,,,0,0,0,0.0,0,4,5,0,0,0,0,0,0,0.0,
Martin Emerson Jr.,97872,CB,NO,1,0,6.0,100.0,100.0,5.0,5.0,0,0,0,0.0,20,67.9,68.3,72.1,,60.5,75.4,0,7,0.0,0,0,0,95.8,1,5,5,0,2,1,0,7,1,1.4,7.0
Tyler Nubin,97895,S,NYG,1,0,12.0,100.0,100.0,36.0,36.0,0,0,0,0.0,21,60.3,63.5,76.8,,67.0,81.8,0,12,0.0,0,0,0,116.7,1,41,41,0,1,1,0,12,0,0.3,12.0
