player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Chase Brown,77787,HB,CIN,1,-2.3,2,83.3,,0,0,0,0.0,0,0.02,0,7,0,73.4,76.8,71.9,80.2,75.8,0.0,0,0,9,23.1,6,26,0,50.0,5,76.9,20,0.0,0,81.9,6,0,0.0,0,22,30,6.0,4.4,1.1
Tucker Kraft,104034,TE,GB,1,11.8,0,50.0,,0,0,0,0.0,0,0.1,3,12,0,70.5,65.8,76.6,46.1,77.3,55.6,15,0,30,18.5,5,27,0,44.4,3,81.5,22,37.0,10,88.9,6,0,3.7,1,65,19,6.3,21.7,2.95
Wan'Dale Robinson,101735,WR,TEN,1,4.0,0,83.3,100.0,1,1,0,0.0,0,-0.23,3,31,0,73.4,68.0,67.8,,70.4,0.0,0,0,10,0.0,0,35,0,52.9,5,97.1,34,80.0,28,93.1,6,0,20.0,7,38,12,2.4,7.6,1.12
Alec Pierce,78038,WR,IND,1,17.8,0,66.7,0.0,0,2,0,0.0,0,-0.2,4,14,0,72.1,67.0,78.6,,77.0,0.0,0,0,23,0.0,0,23,0,36.4,4,95.7,22,8.7,2,100.0,6,0,91.3,21,61,10,2.5,15.3,2.77
Sam LaPorta,101690,TE,DET,1,5.7,0,83.3,,0,0,0,0.0,0,0.13,2,11,0,73.4,68.0,65.4,70.2,67.6,51.4,18,0,19,2.9,1,35,0,51.4,5,97.1,34,37.1,13,100.0,6,0,8.6,3,48,23,4.6,9.6,1.41
Javonte Williams,77803,HB,DAL,1,-2.4,3,100.0,,0,0,0,0.0,0,0.35,2,9,0,74.6,76.0,78.9,79.8,86.1,0.0,0,0,17,18.5,5,27,1,64.0,5,74.1,20,7.4,2,132.1,5,1,0.0,0,31,43,8.6,6.2,1.55
DeVonta Smith,61100,WR,PHI,1,16.4,1,60.0,100.0,1,1,0,0.0,0,0.05,1,24,0,70.5,67.9,75.8,,74.8,0.0,0,0,31,0.0,0,34,0,36.4,3,97.1,33,5.9,2,96.3,5,0,94.1,32,53,5,1.7,17.7,1.61
Luther Burden III,157170,WR,CHI,1,6.8,2,100.0,100.0,1,1,0,0.0,0,0.64,2,6,1,73.4,17.0,62.3,,64.5,0.0,0,0,24,0.0,0,29,0,63.0,5,93.1,27,51.7,15,118.8,5,0,48.3,14,63,29,5.8,12.6,2.33
Pat Freiermuth,84085,TE,PIT,1,6.0,1,100.0,100.0,1,1,0,0.0,0,-0.09,3,25,0,73.4,68.0,71.0,66.6,68.3,30.6,11,0,19,2.8,1,36,0,46.9,5,86.1,31,55.6,20,144.6,5,1,13.9,5,46,25,5.0,9.2,1.48
Jalen Nailor,84292,WR,LV,1,12.4,0,60.0,,0,0,0,0.0,0,-0.09,3,23,0,70.5,65.8,74.0,,72.8,0.0,0,1,12,0.0,0,20,0,47.4,3,95.0,19,30.0,6,35.0,5,0,70.0,14,27,11,3.7,9.0,1.42
Cade Otton,61071,TE,TB,1,4.6,0,60.0,,0,0,0,25.0,1,-0.36,3,30,0,36.2,65.8,53.0,45.8,53.3,60.5,23,0,13,13.2,5,38,1,51.4,3,81.6,31,26.3,10,73.8,5,0,13.2,5,26,26,8.7,8.7,0.84
George Kittle,11901,TE,SF,1,7.8,1,40.0,0.0,0,1,0,0.0,0,-0.03,0,28,0,68.3,64.0,47.0,42.2,49.7,63.2,12,1,6,10.5,2,19,0,52.6,2,89.5,17,26.3,5,8.3,5,0,10.5,2,12,18,9.0,6.0,0.71
