player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Benson Mayowa,8196,ED,SEA,9,15,3.8,3.8,29,0,134.4,4,4,1,27,32,1.8
Davion Taylor,81991,LB,PHI,8,15,3.8,3.8,24,0,104.2,4,4,0,36,24,2.4
Jeremy Reaves,50406,S,WAS,3,11,3.7,2.8,32,0,97.9,3,4,0,32,7,2.91
Lorenzo Carter,50126,ED,NYG,8,11,3.7,3.7,21,0,83.3,3,3,0,12,12,1.09
Alohi Gilman,41662,S,LAC,10,26,3.7,3.7,27,0,137.2,7,7,1,52,20,2.0
Alex Anzalone,11831,LB,DET,10,25,3.6,2.8,11,0,129.2,7,9,1,55,30,2.2
Garret Wallow,60761,LB,HST,4,21,3.5,3.5,13,0,116.7,6,6,0,72,23,3.43
Kelvin Joseph,83051,CB,DAL,3,7,3.5,3.5,9,0,100.0,2,2,0,16,12,2.29
Jacob Phillips,57942,LB,CLV,4,7,3.5,2.3,8,0,82.6,2,3,0,18,6,2.57
Oren Burks,50203,LB,GB,7,14,3.5,3.5,12,0,86.5,4,4,0,19,9,1.36
Armani Watts,51264,S,KC,3,7,3.5,3.5,16,0,95.8,2,2,0,14,5,2.0
Dicaprio Bootle,42913,CB,KC,1,17,3.4,3.4,16,0,95.0,5,5,0,34,17,2.0
Robert Spillane,50918,LB,PIT,8,24,3.4,2.7,25,0,106.9,7,9,0,87,50,3.63
Dont'a Hightower,7030,LB,NE,8,13,3.3,3.3,19,0,99.0,4,4,0,31,29,2.38
Shemar Jean-Charles,42496,CB,GB,5,19,3.2,3.2,12,0,118.8,6,6,0,78,50,4.11
Zaire Franklin,49834,LB,IND,12,19,3.2,2.4,14,0,132.3,6,8,1,54,45,2.84
Ken Crawley,11224,CB,NO,1,3,3.0,3.0,20,0,118.8,1,1,1,1,0,0.33
Chris Williamson,49490,CB,ATL,1,6,3.0,3.0,2,0,118.8,2,2,0,26,9,4.33
Steven Means,7929,ED,ATL,3,3,3.0,3.0,2,0,118.8,1,1,0,26,4,8.67
Stantley Thomas-Oliver III,47981,CB,CAR,2,3,3.0,3.0,5,0,127.1,1,1,1,5,2,1.67
Terrell Lewis,42845,ED,LA,5,6,3.0,3.0,26,0,112.5,2,2,0,22,18,3.67
Taco Charlton,11783,ED,PIT,4,6,3.0,2.0,25,0,88.2,2,3,0,22,8,3.67
Michael Thomas,7279,S,CIN,2,3,3.0,1.5,7,0,95.8,1,2,0,28,9,9.33
Brandon Facyson,50564,CB,LV,6,9,3.0,3.0,23,0,94.4,3,3,0,20,1,2.22
Austin Bryant,36248,ED,DET,2,3,3.0,3.0,11,0,79.2,1,1,0,1,3,0.33
Jacob Tuioti-Mariner,50141,ED,CAR,1,3,3.0,3.0,5,0,79.2,1,1,0,3,0,1.0
Chapelle Russell,38876,LB,JAX,1,3,3.0,1.5,15,0,56.3,1,2,0,4,1,1.33
DeAndre Baker,33356,CB,KC,3,3,3.0,3.0,16,0,118.8,1,1,0,15,9,5.0
Jeff Heath,8396,S,NO,2,3,3.0,3.0,20,0,118.8,1,1,0,17,5,5.67
Malcolm Smith,6394,LB,CLV,10,22,2.8,2.2,8,0,125.4,8,10,1,61,18,2.77
Dennis Gardeck,66928,ED,ARZ,5,8,2.7,2.7,1,0,113.9,3,3,0,34,29,4.25
Kaden Elliss,51485,ED,NO,5,8,2.7,2.7,20,0,108.3,3,3,0,30,23,3.75
Justin Hollins,48498,ED,LA,3,5,2.5,2.5,26,0,104.2,2,2,0,18,17,3.6
Kindle Vildor,49346,CB,CHI,5,7,2.3,2.3,6,0,118.8,3,3,0,53,29,7.57
Jason Pierre-Paul,5540,ED,TB,2,4,2.0,2.0,30,0,85.4,2,2,0,9,15,2.25
Jaelan Phillips,56902,ED,MIA,2,2,2.0,2.0,17,0,112.5,1,1,0,11,5,5.5
Jalen Elliott,51071,S,DET,1,2,2.0,2.0,11,0,79.2,1,1,0,1,6,0.5
Alton Robinson,56857,ED,SEA,2,2,2.0,2.0,29,0,100.0,1,1,0,8,12,4.0
Miles Killebrew,10745,LB,PIT,2,2,2.0,2.0,25,0,79.2,1,1,0,1,0,0.5
