player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Noah Togiai,47282,TE,PHI,1,0,24,73.0,0,0,3,37.5,33.3,100.0,0,0,0,3,9,,0,0,0,0.0,0.0,,0,0,0,3
Joshua Palmer,62979,WR,LAC,17,0,27,71.8,0,0,2,0.7,1.0,100.0,0,0,0,3,314,,0,0,0,0.0,0.0,,0,0,0,169
Isaiah Williams,11467,G,NYJ,1,0,22,75.6,0,0,3,100.0,100.0,100.0,0,0,0,3,3,,0,0,0,,,,0,0,0,0
Chris Conley,9509,WR,HST,16,0,13,74.0,0,0,2,0.6,0.8,100.0,1,0,0,3,364,,0,0,0,0.0,0.0,,0,0,0,142
Wayne Gallman,11895,HB,MIN,6,0,18,19.9,0,0,3,17.6,17.6,100.0,0,0,0,3,17,,0,0,0,0.0,0.0,,0,0,0,4
C.J. Moore,26617,S,DET,3,0,11,99.9,0,0,3,100.0,100.0,100.0,0,0,0,3,3,,0,0,0,,,,0,0,0,0
Shane Zylstra,143786,TE,DET,3,0,11,71.5,0,0,3,6.7,6.5,100.0,0,0,0,3,46,,0,0,0,0.0,0.0,,0,0,0,26
Derrick Gore,32342,HB,KC,9,0,16,75.2,0,0,2,4.0,5.6,100.0,0,0,0,3,54,,0,0,0,0.0,0.0,,0,0,0,20
Nick Bellore,6515,FB,SEA,6,0,29,79.1,0,0,3,37.5,37.5,100.0,0,0,0,3,8,,0,0,0,0.0,0.0,,0,0,0,1
Amon-Ra St. Brown,84470,WR,DET,17,0,11,68.6,0,0,2,0.4,0.5,100.0,1,0,0,3,552,,0,0,0,0.0,0.0,,0,0,0,306
Sutton Smith,27832,FB,LV,5,0,23,55.0,0,0,3,37.5,37.5,100.0,0,0,0,3,8,,0,0,0,0.0,0.0,,0,0,0,2
Andrew Beck,47121,FB,DEN,9,0,10,75.5,0,0,3,20.0,20.0,100.0,0,0,0,3,15,,0,0,0,0.0,0.0,,0,0,0,5
Matt Orzech,94369,LS,LA,3,0,26,99.9,0,0,1,100.0,100.0,100.0,0,0,0,3,3,,0,0,0,,,,0,0,0,0
Anthony Pittman,94372,LB,DET,3,0,11,99.9,0,0,3,100.0,100.0,100.0,0,0,0,3,3,,0,0,0,,,,0,0,0,0
Jonathan Williams,10790,HB,WAS,5,0,32,24.0,0,1,2,6.5,9.1,75.0,0,1,0,3,33,19.1,0,1,1,5.0,9.5,50.0,1,0,2,21
Jody Fortson,94384,TE,KC,6,0,16,73.2,0,0,3,8.1,7.7,100.0,0,0,0,3,39,,0,0,0,0.0,0.0,,0,0,0,13
Jackson Barton,46978,T,LV,2,0,23,75.0,0,0,3,100.0,100.0,100.0,0,0,0,3,3,69.6,0,0,1,100.0,100.0,100.0,0,0,1,1
Johnny Stanton,46441,FB,CLV,2,0,8,43.2,0,0,3,42.9,42.9,100.0,0,0,0,3,7,74.1,0,0,1,50.0,50.0,100.0,0,0,1,2
Donovan Peoples-Jones,61439,WR,CLV,14,0,8,72.1,0,0,3,0.7,0.7,100.0,0,0,0,3,434,,0,0,0,0.0,0.0,,0,0,0,176
CeeDee Lamb,61570,WR,DAL,17,1,9,67.8,0,0,3,0.5,0.5,100.0,2,0,0,3,635,,0,0,0,0.0,0.0,,0,0,0,286
Gabe Davis,55410,WR,BUF,18,0,4,81.2,0,0,3,0.8,0.7,100.0,0,0,0,3,417,69.3,0,0,1,0.6,0.5,100.0,0,0,1,192
Kyle Murphy,10834,T,NO,1,0,20,75.3,0,0,3,100.0,100.0,100.0,0,0,0,3,3,75.3,0,0,3,100.0,100.0,100.0,0,0,3,3
Alex Armah,11948,FB,WAS,7,0,32,74.8,0,0,3,15.0,13.0,100.0,0,0,0,3,23,,0,0,0,0.0,0.0,,0,0,0,12
Daniel Brown,10144,TE,NYJ,6,0,22,69.5,0,0,2,8.0,7.7,100.0,0,0,0,2,26,,0,0,0,0.0,0.0,,0,0,0,13
Zach Wilson,82096,QB,NYJ,13,0,22,74.2,0,0,2,0.4,0.4,100.0,1,0,0,2,474,,0,0,0,0.0,0.0,,0,0,0,209
