player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Brandon Aiyuk,84109,WR,SF,1,4,0,28,0,,0,,,0,0,,0,-0.54,0,0,,50.3,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,15.7,0,66.7,100.0,1,1,33.3,1,0.37,2,0,28.7,60.1,0,14,0.0,0,5,40.0,2,100.0,5,96.5,3,60.0,0,28,1,0.5,14.0,5.6
Pat Freiermuth,84085,TE,PIT,1,4,0,25,0,,0,,,0,0,,0,-0.11,0,0,,47.4,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2.5,0,100.0,,0,0,0.0,0,0.11,1,0,73.4,56.8,0,8,0.0,0,13,36.4,2,84.6,11,93.8,2,18.2,0,13,8,4.0,6.5,1.18
Foster Moreau,47043,TE,NO,1,4,0,20,0,,0,,,0,0,,0,-0.05,0,0,,47.6,0,0,20.0,1,5,60.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,16.0,0,100.0,,0,0,0.0,0,0.14,0,0,68.3,71.3,0,17,0.0,0,5,60.0,1,100.0,5,118.8,1,20.0,0,17,1,1.0,17.0,3.4
D.K. Metcalf,47864,WR,SEA,1,4,0,29,0,,0,,,0,0,,0,-0.52,0,0,,49.9,0,0,0.0,0,3,0.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,10.0,0,100.0,,0,0,0.0,0,0.24,0,0,72.1,63.9,0,12,0.0,0,3,50.0,1,66.7,2,116.7,1,50.0,0,12,2,2.0,12.0,6.0
Mike Gesicki,47153,TE,CIN,1,4,0,7,0,,0,,,0,0,,0,-0.52,0,0,,50.8,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,9.3,0,75.0,50.0,1,2,0.0,0,0.01,0,0,75.6,48.1,0,7,0.0,0,9,50.0,3,88.9,8,83.3,4,50.0,0,18,4,1.3,6.0,2.25
Brian Thomas Jr.,146760,WR,JAX,1,4,0,15,0,,0,,,0,0,,0,-0.06,0,0,,54.1,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,23.0,0,100.0,,0,0,0.0,0,-0.08,1,0,73.4,73.0,0,14,0.0,0,6,40.0,1,83.3,5,158.3,1,20.0,1,14,0,0.0,14.0,2.8
Dallas Goedert,47272,TE,PHI,1,4,0,24,0,-3.0,0,100.0,,0,0,0.0,0,-0.35,0,0,78.7,56.0,0,1,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,1,4,4.0,1.0,0.5,,0,,,0,0,,0,0.66,0,0,73.4,57.8,0,0,0.0,0,15,64.3,0,93.3,14,0.0,0,0.0,0,0,0,,,0.0
Joshua Palmer,62979,WR,LAC,1,4,0,27,0,,0,,,0,0,,0,0.86,0,0,,54.9,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,15.0,0,0.0,,0,0,100.0,1,-1.12,0,0,41.6,54.6,0,0,0.0,0,9,11.1,0,100.0,9,39.6,2,22.2,0,0,0,,,0.0
Evan Engram,11778,TE,JAX,1,4,0,15,0,,0,,,0,0,,0,0.03,0,0,,47.4,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,7.7,0,33.3,,0,0,0.0,0,0.12,0,0,73.4,53.3,0,5,0.0,0,9,50.0,1,88.9,8,42.4,3,37.5,0,5,1,1.0,5.0,0.63
Zach Ertz,7816,TE,WAS,1,4,0,32,0,,0,,,0,0,,0,-0.13,0,0,,48.1,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,6.5,0,100.0,,0,0,0.0,0,0.26,0,0,73.4,62.0,0,9,5.0,1,20,63.2,2,90.0,18,100.0,2,11.1,0,16,3,1.5,8.0,0.89
Jordan Addison,123000,WR,MIN,1,4,0,18,0,,0,,,0,0,,0,-0.22,0,0,78.7,57.7,0,0,0.0,0,3,50.0,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,9.0,0,50.0,,0,0,0.0,0,-0.13,0,0,72.1,59.6,0,6,0.0,0,8,16.7,1,75.0,6,56.3,2,33.3,0,6,0,0.0,6.0,1.0
Theo Johnson,129787,TE,NYG,1,4,0,21,0,,0,,,0,0,,0,-1.4,0,0,,45.3,0,0,0.0,0,5,40.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,5.0,0,0.0,,0,0,,0,-0.92,0,0,28.8,46.4,0,0,4.3,1,23,23.8,0,87.0,20,39.6,1,5.0,0,0,0,,,0.0
Austin Hooper,10715,TE,NE,1,4,0,19,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,85.8,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Adam Thielen,8288,WR,CAR,1,4,0,5,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,16.0,0,66.7,,0,0,0.0,0,-0.3,1,0,74.6,68.4,1,32,0.0,0,21,45.0,2,95.2,20,66.7,3,15.0,0,35,14,7.0,17.5,1.75
