player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
L'Jarius Sneed,40588,CB,TEN,4,5,,5.0,31,0,39.6,0,1,0,0,0,0.0
Charvarius Ward,43034,CB,IND,6,15,,5.0,14,0,39.6,0,3,0,0,0,0.0
Krys Barnes,42548,LB,CAR,1,3,,3.0,5,0,39.6,0,1,0,0,0,0.0
Nikko Reed,146321,CB,LAC,3,35,35.0,7.0,27,0,39.6,1,5,0,8,9,0.23
Xavier McKinney,55775,S,GB,13,35,35.0,11.7,12,0,60.4,1,3,0,22,1,0.63
Theo Jackson,62919,S,MIN,10,28,28.0,14.0,18,0,56.3,1,2,0,4,3,0.14
E.J. Speed,94351,LB,HST,11,27,27.0,9.0,13,0,43.8,1,3,0,10,5,0.37
Joey Porter Jr.,101364,CB,PIT,13,26,26.0,4.3,25,0,39.6,1,6,0,10,5,0.38
Tyson Campbell,83217,CB,CLV,10,25,25.0,3.6,8,0,39.6,1,7,0,2,6,0.08
Julian Love,51081,S,SEA,11,25,25.0,6.3,29,1,8.3,1,4,0,20,3,0.8
Rock Ya-Sin,49564,CB,DET,11,23,23.0,23.0,11,0,118.8,1,1,0,15,2,0.65
Will Harris,51336,S,WAS,8,64,21.3,10.7,32,0,56.3,3,6,0,17,21,0.27
Xavier Watts,122914,S,ATL,16,106,21.2,15.1,2,1,68.5,5,7,0,78,16,0.74
Cornell Armstrong,50351,CB,MIA,3,42,21.0,14.0,17,0,131.9,2,3,1,25,26,0.6
Rayshawn Jenkins,11868,S,CLV,10,21,21.0,5.3,8,0,39.6,1,4,0,7,2,0.33
Tony Jefferson,8361,S,LAC,10,21,21.0,21.0,27,0,91.7,1,1,0,6,11,0.29
Justin Strnad,42659,LB,DEN,13,38,19.0,12.7,10,0,86.8,2,3,0,21,3,0.55
Jack Campbell,101515,LB,DET,12,37,18.5,7.4,11,0,47.9,2,5,0,9,6,0.24
Kitan Crawford,123111,S,ARZ,8,18,18.0,18.0,1,0,104.2,1,1,0,9,4,0.5
Cedric Gray,122835,LB,TEN,15,35,17.5,11.7,31,0,70.1,2,3,0,8,8,0.23
Tyler Nubin,97895,S,NYG,13,69,17.3,6.9,21,0,52.5,4,10,0,41,26,0.59
Malachi Moore,123928,S,NYJ,17,114,16.3,14.3,22,0,118.8,7,8,0,120,76,1.05
Taylor Rapp,51172,S,BUF,5,16,16.0,16.0,4,0,79.2,1,1,0,2,0,0.13
