player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
David Quessenberry,7957,T,LA,3,0,26,57.4,100.0,7,38.9,7,58.0,0,100.0,18,18,59.7,100.0,2,11.1,2
Omarion Hampton,162750,HB,LAC,10,0,27,58.6,4.1,3,16.7,73,66.6,0,12.0,18,150,57.4,4.9,3,16.7,61
Trey Lance,91399,QB,LAC,3,0,27,60.0,81.8,9,50.0,11,60.0,0,64.3,18,28,60.0,70.0,7,38.9,10
Isaiah Davis,138299,HB,NYJ,15,0,22,58.0,17.6,3,16.7,17,57.6,0,29.5,18,61,59.1,13.3,4,22.2,30
Laquon Treadwell,10657,WR,IND,7,0,14,53.6,100.0,10,55.6,10,54.5,0,100.0,18,18,59.3,100.0,5,27.8,5
Miles Frazier,123626,G,DET,4,0,11,54.1,100.0,6,35.3,6,39.2,0,100.0,17,17,37.7,100.0,9,52.9,9
Jordan Mason,62946,HB,MIN,16,0,18,60.0,1.4,1,5.9,70,58.9,0,9.3,17,182,59.8,3.2,3,17.6,94
Brandon Allen,10835,QB,TEN,1,0,31,60.0,100.0,10,58.8,10,60.0,0,100.0,17,17,60.0,100.0,7,41.2,7
Jaylen Warren,98692,HB,PIT,17,0,25,58.6,3.8,3,17.6,78,54.1,0,7.0,17,244,73.2,2.6,4,23.5,154
Tom Kennedy,94379,WR,DET,2,0,11,59.3,100.0,9,52.9,9,54.2,0,100.0,17,17,53.0,100.0,6,35.3,6
Khyiris Tonga,52000,DI,NE,7,0,19,44.8,100.0,7,43.8,7,55.2,0,100.0,16,16,65.6,100.0,6,37.5,6
Kimani Vidal,123727,HB,LAC,13,0,27,60.0,1.2,1,6.3,83,77.8,0,8.6,16,186,59.8,4.4,4,25.0,90
Amari Kight,99064,T,SEA,3,0,29,73.6,100.0,5,31.3,5,77.3,0,100.0,16,16,70.7,100.0,11,68.8,11
Quinshon Judkins,157128,HB,CLV,14,0,8,60.0,1.6,2,12.5,124,69.3,0,6.3,16,256,60.0,0.9,1,6.3,108
Ronnie Bell,84288,WR,NO,2,0,20,84.0,100.0,7,43.8,7,74.2,0,100.0,16,16,54.8,100.0,8,50.0,8
Branson Taylor,123026,G,LAC,1,0,27,49.5,100.0,8,50.0,8,37.1,0,100.0,16,16,56.8,100.0,5,31.3,5
Cameron Williams,163867,T,PHI,1,0,24,54.7,100.0,5,33.3,5,65.6,0,100.0,15,15,71.4,100.0,9,60.0,9
Tony Pollard,27126,HB,TEN,17,0,31,60.0,0.8,1,6.7,120,75.9,0,5.7,15,264,67.5,2.3,3,20.0,131
Devin Duvernay,40006,WR,CHI,5,0,6,48.4,100.0,5,33.3,5,50.7,0,100.0,15,15,60.1,100.0,8,53.3,8
Bam Knight,97432,HB,ARZ,10,0,1,56.1,4.5,3,20.0,67,52.0,0,14.6,15,103,60.0,7.7,2,13.3,26
Audric Estime,147476,HB,NO,6,0,20,58.8,26.7,4,26.7,15,43.6,0,24.2,15,62,60.0,7.7,3,20.0,39
Mike Jerrell,183057,T,ATL,1,0,2,58.3,100.0,4,26.7,4,29.1,0,100.0,15,15,29.9,100.0,10,66.7,10
Tim Jones,61669,WR,JAX,3,0,15,54.2,100.0,6,40.0,6,54.6,0,100.0,15,15,58.9,100.0,7,46.7,7
Lucas Patrick,11435,G,CIN,4,0,7,58.6,100.0,9,60.0,9,62.0,0,100.0,15,15,65.8,100.0,5,33.3,5
CJ Dippre,144888,TE,NE,2,0,19,57.0,100.0,4,28.6,4,54.9,0,100.0,14,14,55.6,100.0,6,42.9,6
Brenden Jaimes,59909,C,NE,2,0,19,57.0,100.0,4,28.6,4,66.0,0,100.0,14,14,69.1,100.0,6,42.9,6
Dominic Lovett,146872,WR,DET,7,1,11,60.0,100.0,2,14.3,2,56.9,1,100.0,14,14,57.4,100.0,5,35.7,5
