season,team,hc,hc_prev,hc_changed,oc,dc,dc_prev,dc_source,oc_changed,dc_changed,dc_to_hc,def_staff_changed,coaching_cohort
2019,IND,Frank Reich,Frank Reich,0.0,,Matt Eberflus,Matt Eberflus,wikipedia,,0.0,False,0.0,none
2019,JAX,Doug Marrone,Doug Marrone,0.0,,Todd Wash,Todd Wash,wikipedia,,0.0,False,0.0,none
2019,KC,Andy Reid,Andy Reid,0.0,,Steve Spagnuolo,,wikipedia,,,False,0.0,unknown
2019,LA,Sean McVay,Sean McVay,0.0,,Wade Phillips,Wade Phillips,wikipedia,,0.0,False,0.0,none
2019,LAC,Anthony Lynn,Anthony Lynn,0.0,,Gus Bradley,Gus Bradley,wikipedia,,0.0,False,0.0,none
2019,LV,Jon Gruden,Jon Gruden,0.0,,,,,,,False,0.0,unknown
2019,MIA,Brian Flores,Adam Gase,1.0,,,,,,,False,1.0,unknown
2019,MIN,Mike Zimmer,Mike Zimmer,0.0,,,,,,,False,0.0,unknown
2019,NE,Bill Belichick,Bill Belichick,0.0,,Bill Belichick,Brian Flores,wikipedia,,1.0,False,1.0,dc_only
2019,NO,Sean Payton,Sean Payton,0.0,,,,,,,False,0.0,unknown
2019,NYG,Pat Shurmur,Pat Shurmur,0.0,,James Bettcher,James Bettcher,wikipedia,,0.0,False,0.0,none
2019,NYJ,Adam Gase,Todd Bowles,1.0,,Gregg Williams,Kacy Rodgers,wikipedia,,1.0,False,1.0,both
2019,PHI,Doug Pederson,Doug Pederson,0.0,,Jim Schwartz,Jim Schwartz,wikipedia,,0.0,False,0.0,none
2019,PIT,Mike Tomlin,Mike Tomlin,0.0,,,,,,,False,0.0,unknown
2019,SEA,Pete Carroll,Pete Carroll,0.0,,Ken Norton Jr.,Ken Norton Jr.,wikipedia,,0.0,False,0.0,none
2019,SF,Kyle Shanahan,Kyle Shanahan,0.0,,Robert Saleh,Robert Saleh,wikipedia,,0.0,False,0.0,none
2019,TB,Bruce Arians,Dirk Koetter,1.0,,Todd Bowles,Mark Duffner,wikipedia,,1.0,False,1.0,both
2019,TEN,Mike Vrabel,Mike Vrabel,0.0,,Dean Pees,Dean Pees,wikipedia,,0.0,False,0.0,none
2019,WAS,Bill Callahan,Jay Gruden,1.0,,Greg Manusky,Greg Manusky,wikipedia,,0.0,False,1.0,hc_only
2020,ARI,Kliff Kingsbury,Kliff Kingsbury,0.0,,Vance Joseph,Vance Joseph,wikipedia,,0.0,False,0.0,none
2020,ATL,Raheem Morris,Dan Quinn,1.0,Dirk Koetter,Jeff Ulbrich,Marquand Manuel,wikipedia,,1.0,False,1.0,both
2020,BAL,John Harbaugh,John Harbaugh,0.0,Greg Roman,Don Martindale,Don Martindale,wikipedia,,0.0,False,0.0,none
2020,BUF,Sean McDermott,Sean McDermott,0.0,Brian Daboll,Leslie Frazier,Leslie Frazier,wikipedia,,0.0,False,0.0,none
2020,CAR,Matt Rhule,Ron Rivera,1.0,,Phil Snow,Steve Wilks,wikipedia,,1.0,False,1.0,both
2020,CHI,Matt Nagy,Matt Nagy,0.0,Bill Lazor,Chuck Pagano,Chuck Pagano,wikipedia,,0.0,False,0.0,none
2020,CIN,Zac Taylor,Zac Taylor,0.0,Brian Callahan,Lou Anarumo,Lou Anarumo,wikipedia,,0.0,False,0.0,none
2020,CLE,Kevin Stefanski,Freddie Kitchens,1.0,Alex Van Pelt,,Steve Wilks,,,,False,1.0,unknown
2020,DAL,Mike McCarthy,Jason Garrett,1.0,Kellen Moore,Mike Nolan,Rod Marinelli,wikipedia,,1.0,False,1.0,both
2020,DEN,Vic Fangio,Vic Fangio,0.0,Pat Shurmur,Ed Donatell,Ed Donatell,wikipedia,,0.0,False,0.0,none
2020,DET,Matt Patricia,Matt Patricia,0.0,Darrell Bevell,Cory Undlin,Paul Pasqualoni,wikipedia,,1.0,False,1.0,dc_only
2020,GB,Matt LaFleur,Matt LaFleur,0.0,Nathaniel Hackett,Mike Pettine,Mike Pettine,wikipedia,,0.0,False,0.0,none
2020,HOU,Romeo Crennel,Bill O'Brien,1.0,,Anthony Weaver,Romeo Crennel,wikipedia,,1.0,True,1.0,dc_to_hc
2020,IND,Frank Reich,Frank Reich,0.0,Nick Sirianni,Matt Eberflus,Matt Eberflus,wikipedia,,0.0,False,0.0,none
2020,JAX,Doug Marrone,Doug Marrone,0.0,Jay Gruden,Todd Wash,Todd Wash,wikipedia,,0.0,False,0.0,none
2020,KC,Andy Reid,Andy Reid,0.0,Eric Bieniemy,Steve Spagnuolo,Steve Spagnuolo,wikipedia,,0.0,False,0.0,none
2020,LA,Sean McVay,Sean McVay,0.0,,Brandon Staley,Wade Phillips,wikipedia,,1.0,False,1.0,dc_only
2020,LAC,Anthony Lynn,Anthony Lynn,0.0,Shane Steichen,Gus Bradley,Gus Bradley,wikipedia,,0.0,False,0.0,none
2020,LV,Jon Gruden,Jon Gruden,0.0,,,,,,,False,0.0,unknown
2020,MIA,Brian Flores,Brian Flores,0.0,Chan Gailey,Josh Boyer,,wikipedia,1.0,,False,0.0,unknown
2020,MIN,Mike Zimmer,Mike Zimmer,0.0,Gary Kubiak,,,,1.0,,False,0.0,unknown
2020,NE,Bill Belichick,Bill Belichick,0.0,Josh McDaniels,Bill Belichick,Bill Belichick,wikipedia,,0.0,True,0.0,dc_to_hc
2020,NO,Sean Payton,Sean Payton,0.0,Pete Carmichael Jr.,,Dennis Allen,,,,False,0.0,unknown
2020,NYG,Joe Judge,Pat Shurmur,1.0,Jason Garrett,,James Bettcher,,,,False,1.0,unknown
2020,NYJ,Adam Gase,Adam Gase,0.0,Dowell Loggains,Gregg Williams,Gregg Williams,wikipedia,,0.0,False,0.0,none
2020,PHI,Doug Pederson,Doug Pederson,0.0,,Jim Schwartz,Jim Schwartz,wikipedia,,0.0,False,0.0,none
2020,PIT,Mike Tomlin,Mike Tomlin,0.0,Randy Fichtner,,,,1.0,,False,0.0,unknown
2020,SEA,Pete Carroll,Pete Carroll,0.0,Brian Schottenheimer,Ken Norton Jr.,Ken Norton Jr.,wikipedia,,0.0,False,0.0,none
2020,SF,Kyle Shanahan,Kyle Shanahan,0.0,,Robert Saleh,Robert Saleh,wikipedia,,0.0,False,0.0,none
2020,TB,Bruce Arians,Bruce Arians,0.0,Byron Leftwich,Todd Bowles,Todd Bowles,wikipedia,,0.0,False,0.0,none
2020,TEN,Mike Vrabel,Mike Vrabel,0.0,,,,,,,False,0.0,unknown
2020,WAS,Ron Rivera,Bill Callahan,1.0,,Jack Del Rio,Greg Manusky,wikipedia,,1.0,False,1.0,both
2021,ARI,Kliff Kingsbury,Kliff Kingsbury,0.0,,Vance Joseph,Vance Joseph,wikipedia,,0.0,False,0.0,none
2021,ATL,Arthur Smith,Raheem Morris,1.0,Dave Ragone,Dean Pees,Jeff Ulbrich,wikipedia,1.0,1.0,False,1.0,both
2021,BAL,John Harbaugh,John Harbaugh,0.0,Greg Roman,Don Martindale,Don Martindale,wikipedia,0.0,0.0,False,0.0,none
2021,BUF,Sean McDermott,Sean McDermott,0.0,Brian Daboll,Leslie Frazier,Leslie Frazier,wikipedia,0.0,0.0,False,0.0,none
2021,CAR,Matt Rhule,Matt Rhule,0.0,Joe Brady,Phil Snow,Phil Snow,wikipedia,,0.0,False,0.0,none
2021,CHI,Matt Nagy,Matt Nagy,0.0,Bill Lazor,Sean Desai,Chuck Pagano,wikipedia,0.0,1.0,False,1.0,dc_only
2021,CIN,Zac Taylor,Zac Taylor,0.0,Brian Callahan,Lou Anarumo,Lou Anarumo,wikipedia,0.0,0.0,False,0.0,none
2021,CLE,Kevin Stefanski,Kevin Stefanski,0.0,Alex Van Pelt,Joe Woods,,wikipedia,0.0,,False,0.0,unknown
2021,DAL,Mike McCarthy,Mike McCarthy,0.0,Kellen Moore,Dan Quinn,Mike Nolan,wikipedia,0.0,1.0,False,1.0,dc_only
2021,DEN,Vic Fangio,Vic Fangio,0.0,Pat Shurmur,Ed Donatell,Ed Donatell,wikipedia,0.0,0.0,False,0.0,none
2021,DET,Dan Campbell,Matt Patricia,1.0,Anthony Lynn,Aaron Glenn,Cory Undlin,wikipedia,1.0,1.0,False,1.0,both
2021,GB,Matt LaFleur,Matt LaFleur,0.0,Nathaniel Hackett,Joe Barry,Mike Pettine,wikipedia,0.0,1.0,False,1.0,dc_only
2021,HOU,David Culley,Romeo Crennel,1.0,Tim Kelly,Lovie Smith,Anthony Weaver,wikipedia,,1.0,False,1.0,both
2021,IND,Frank Reich,Frank Reich,0.0,Marcus Brady,Matt Eberflus,Matt Eberflus,wikipedia,1.0,0.0,False,0.0,none
2021,JAX,Urban Meyer,Doug Marrone,1.0,Darrell Bevell,Joe Cullen,Todd Wash,wikipedia,1.0,1.0,False,1.0,both
2021,KC,Andy Reid,Andy Reid,0.0,Eric Bieniemy,Steve Spagnuolo,Steve Spagnuolo,wikipedia,0.0,0.0,False,0.0,none
2021,LA,Sean McVay,Sean McVay,0.0,Kevin O'Connell,Raheem Morris,Brandon Staley,wikipedia,,1.0,False,1.0,dc_only
2021,LAC,Brandon Staley,Anthony Lynn,1.0,Joe Lombardi,Renaldo Hill,Gus Bradley,wikipedia,1.0,1.0,False,1.0,both
2021,LV,Rich Bisaccia,Jon Gruden,1.0,Greg Olson,Gus Bradley,John Pagano,wikipedia,1.0,1.0,False,1.0,both
2021,MIA,Brian Flores,Brian Flores,0.0,,Josh Boyer,Josh Boyer,wikipedia,,0.0,False,0.0,none
2021,MIN,Mike Zimmer,Mike Zimmer,0.0,Klint Kubiak,,,,1.0,,False,0.0,unknown
2021,NE,Bill Belichick,Bill Belichick,0.0,Josh McDaniels,,Bill Belichick,,0.0,,True,0.0,dc_to_hc
2021,NO,Sean Payton,Sean Payton,0.0,Pete Carmichael,Dennis Allen,,wikipedia,0.0,,False,0.0,unknown
2021,NYG,Joe Judge,Joe Judge,0.0,Jason Garrett,Patrick Graham,,wikipedia,0.0,,False,0.0,unknown
2021,NYJ,Robert Saleh,Adam Gase,1.0,Mike LaFleur,Jeff Ulbrich,Gregg Williams,wikipedia,1.0,1.0,False,1.0,both
2021,PHI,Nick Sirianni,Doug Pederson,1.0,Shane Steichen,Jonathan Gannon,Jim Schwartz,wikipedia,,1.0,False,1.0,both
2021,PIT,Mike Tomlin,Mike Tomlin,0.0,Matt Canada,Keith Butler,,wikipedia,1.0,,False,0.0,unknown
2021,SEA,Pete Carroll,Pete Carroll,0.0,Shane Waldron,Ken Norton,Ken Norton Jr.,wikipedia,1.0,0.0,False,0.0,none
2021,SF,Kyle Shanahan,Kyle Shanahan,0.0,Mike McDaniel,DeMeco Ryans,Robert Saleh,wikipedia,,1.0,False,1.0,dc_only
2021,TB,Bruce Arians,Bruce Arians,0.0,Byron Leftwich,Todd Bowles,Todd Bowles,wikipedia,0.0,0.0,False,0.0,none
2021,TEN,Mike Vrabel,Mike Vrabel,0.0,Todd Downing,Shane Bowen,Dean Pees,wikipedia,,1.0,False,1.0,dc_only
2021,WAS,Ron Rivera,Ron Rivera,0.0,Scott Turner,Jack Del Rio,Jack Del Rio,wikipedia,,0.0,False,0.0,none
2022,ARI,Kliff Kingsbury,Kliff Kingsbury,0.0,Sean Kugler,Vance Joseph,Vance Joseph,ourlads,,0.0,False,0.0,none
2022,ATL,Arthur Smith,Arthur Smith,0.0,Dave Ragone,Dean Pees,Dean Pees,ourlads,0.0,0.0,False,0.0,none
2022,BAL,John Harbaugh,John Harbaugh,0.0,Greg Roman,Mike Macdonald,Don Martindale,ourlads,0.0,1.0,False,1.0,dc_only
2022,BUF,Sean McDermott,Sean McDermott,0.0,Ken Dorsey,Leslie Frazier,Leslie Frazier,ourlads,1.0,0.0,False,0.0,none
2022,CAR,Steve Wilks,Matt Rhule,1.0,Ben McAdoo,Phil Snow,Phil Snow,ourlads,1.0,0.0,False,1.0,hc_only
2022,CHI,Matt Eberflus,Matt Nagy,1.0,Luke Getsy,Alan Williams,Sean Desai,ourlads,1.0,1.0,False,1.0,both
2022,CIN,Zac Taylor,Zac Taylor,0.0,Brian Callahan,Lou Anarumo,Lou Anarumo,ourlads,0.0,0.0,False,0.0,none
2022,CLE,Kevin Stefanski,Kevin Stefanski,0.0,Alex Van Pelt,Joe Woods,Joe Woods,ourlads,0.0,0.0,False,0.0,none
2022,DAL,Mike McCarthy,Mike McCarthy,0.0,Kellen Moore,Dan Quinn,Dan Quinn,ourlads,0.0,0.0,False,0.0,none
2022,DEN,Nathaniel Hackett,Vic Fangio,1.0,Justin Outten,Ejiro Evero,Ed Donatell,ourlads,1.0,1.0,False,1.0,both
2022,DET,Dan Campbell,Dan Campbell,0.0,Ben Johnson,Aaron Glenn,Aaron Glenn,ourlads,1.0,0.0,False,0.0,none
2022,GB,Matt LaFleur,Matt LaFleur,0.0,Adam Stenavich,Joe Barry,Joe Barry,ourlads,1.0,0.0,False,0.0,none
2022,HOU,Lovie Smith,David Culley,1.0,Pep Hamilton,Lovie Smith,Lovie Smith,ourlads,1.0,0.0,True,1.0,dc_to_hc
2022,IND,Frank Reich,Frank Reich,0.0,Marcus Brady,Gus Bradley,Matt Eberflus,ourlads,0.0,1.0,False,1.0,dc_only
2022,JAX,Doug Pederson,Urban Meyer,1.0,Press Taylor,Mike Caldwell,Joe Cullen,ourlads,1.0,1.0,False,1.0,both
2022,KC,Andy Reid,Andy Reid,0.0,Eric Bienemy,Steve Spagnuolo,Steve Spagnuolo,ourlads,1.0,0.0,False,0.0,none
