year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2025,10,Davante Adams,WR,13.81,13.33,19.7,-6.37,-0.48,6.37
2024,16,Joe Mixon,RB,14.28,14.46,8.1,6.36,0.18,6.36
2024,7,Jaleel McLaughlin,RB,9.58,9.86,3.5,6.36,0.28,6.36
2024,12,DeAndre Hopkins,WR,8.43,8.14,14.5,-6.36,-0.29,6.36
2025,5,Marvin Mims Jr.,WR,10.06,10.25,3.9,6.35,0.19,6.35
2025,15,Jayden Higgins,WR,8.04,7.75,1.4,6.35,-0.29,6.35
2024,4,George Pickens,WR,9.96,9.96,16.3,-6.34,0.0,6.34
2024,13,Bo Nix,QB,18.71,18.49,12.16,6.33,-0.22,6.33
2024,18,Rashod Bateman,WR,12.85,12.27,18.6,-6.33,-0.58,6.33
2024,4,Travis Kelce,TE,9.95,9.57,15.9,-6.33,-0.38,6.33
2024,16,Amari Cooper,WR,8.91,8.33,2.0,6.33,-0.58,6.33
2025,10,Aaron Jones,RB,9.49,9.58,15.9,-6.32,0.09,6.32
2024,6,Baker Mayfield,QB,19.67,19.59,25.9,-6.31,-0.08,6.31
2025,6,Tyrone Tracy Jr.,RB,6.63,6.91,0.6,6.31,0.28,6.31
2024,15,Justin Jefferson,WR,14.19,14.0,20.3,-6.3,-0.19,6.3
2024,3,Zay Flowers,WR,12.17,11.6,5.3,6.3,-0.57,6.3
2024,16,Sam Darnold,QB,16.64,16.64,22.94,-6.3,0.0,6.3
2024,15,Kyler Murray,QB,16.79,16.35,10.06,6.29,-0.44,6.29
2024,18,Mike Gesicki,TE,9.09,8.52,14.8,-6.28,-0.57,6.28
2024,5,Geno Smith,QB,16.64,16.28,22.56,-6.28,-0.36,6.28
2024,13,Saquon Barkley,RB,26.16,25.97,19.7,6.27,-0.19,6.27
2025,18,Chris Rodriguez Jr.,RB,8.84,9.03,15.3,-6.27,0.19,6.27
2025,4,Tony Pollard,RB,15.84,16.86,10.6,6.26,1.02,6.26
2025,4,Keenan Allen,WR,15.25,14.96,8.7,6.26,-0.29,6.26
2025,5,Justin Jefferson,WR,12.65,13.04,19.3,-6.26,0.39,6.26
2024,7,Isaiah Likely,TE,10.61,9.95,3.7,6.25,-0.66,6.25
2024,12,David Njoku,TE,9.19,10.14,3.9,6.24,0.95,6.24
2025,5,Tua Tagovailoa,QB,16.64,16.5,22.74,-6.24,-0.14,6.24
2025,9,Woody Marks,RB,8.84,8.93,2.7,6.23,0.09,6.23
2025,10,Michael Carter,RB,6.45,6.63,0.4,6.23,0.18,6.23
2025,14,Jared Goff,QB,23.57,22.39,16.16,6.23,-1.18,6.23
2024,3,Jerome Ford,RB,16.21,16.21,10.0,6.21,0.0,6.21
2024,8,Jahmyr Gibbs,RB,14.55,14.09,20.3,-6.21,-0.46,6.21
2025,12,Saquon Barkley,RB,18.79,18.61,12.4,6.21,-0.18,6.21
2025,7,KaVontae Turpin,WR,9.29,8.91,2.7,6.21,-0.38,6.21
2025,15,Zach Charbonnet,RB,9.4,9.3,3.1,6.2,-0.1,6.2
2025,15,Hunter Henry,TE,9.0,9.0,2.8,6.2,0.0,6.2
2025,8,Javonte Williams,RB,11.79,11.7,17.9,-6.2,-0.09,6.2
2025,7,Tucker Kraft,TE,11.09,10.61,16.8,-6.19,-0.48,6.19
2024,18,Nico Collins,WR,8.23,8.62,14.8,-6.18,0.39,6.18
2024,13,Jahmyr Gibbs,RB,17.68,16.58,10.4,6.18,-1.1,6.18
2025,3,Ricky Pearsall,WR,13.42,13.52,19.7,-6.18,0.1,6.18
2024,3,Zamir White,RB,9.67,9.58,3.4,6.18,-0.09,6.18
2025,8,Kenny Gainwell,RB,9.58,9.67,3.5,6.17,0.09,6.17
2025,15,Mark Andrews,TE,10.52,9.95,3.8,6.15,-0.57,6.15
2024,14,Kirk Cousins,QB,15.69,15.91,9.76,6.15,0.22,6.15
2024,12,Sam Darnold,QB,14.88,14.95,21.1,-6.15,0.07,6.15
2024,8,Darnell Mooney,WR,12.65,12.46,18.6,-6.14,-0.19,6.14
2024,8,Kenneth Walker III,RB,14.55,14.64,8.5,6.14,0.09,6.14
2024,9,Jordan Addison,WR,9.96,9.96,16.1,-6.14,0.0,6.14
2024,5,Tyler Huntley,QB,12.44,12.59,6.46,6.13,0.15,6.13
2025,4,Calvin Ridley,WR,10.44,11.12,5.0,6.12,0.68,6.12
2025,11,Joe Flacco,QB,15.91,15.98,9.86,6.12,0.07,6.12
2024,6,Chase Brown,RB,8.38,8.29,14.4,-6.11,-0.09,6.11
2025,3,Bryce Young,QB,17.38,17.75,11.64,6.11,0.37,6.11
2024,11,Lamar Jackson,QB,21.44,20.99,14.88,6.11,-0.45,6.11
2024,8,David Njoku,TE,10.33,10.99,17.1,-6.11,0.66,6.11
2024,3,Dalton Kincaid,TE,7.38,7.0,13.1,-6.1,-0.38,6.1
2024,6,Hunter Henry,TE,6.34,7.0,13.1,-6.1,0.66,6.1
2025,10,T.J. Hockenson,TE,8.9,8.9,2.8,6.1,0.0,6.1
2024,15,Xavier Legette,WR,9.0,9.0,2.9,6.1,0.0,6.1
2024,3,David Montgomery,RB,15.38,15.11,21.2,-6.09,-0.27,6.09
2025,16,T.J. Hockenson,TE,7.19,7.29,1.2,6.09,0.1,6.09
2025,3,Nick Chubb,RB,12.99,13.08,7.0,6.08,0.09,6.08
2025,5,Brenton Strange,TE,9.09,9.28,3.2,6.08,0.19,6.08
2024,17,Matthew Stafford,QB,15.76,15.24,9.16,6.08,-0.52,6.08
2025,8,Rachaad White,RB,14.46,14.18,8.1,6.08,-0.28,6.08
2024,16,Derrick Henry,RB,15.01,14.83,20.9,-6.07,-0.18,6.07
2024,15,Sam Darnold,QB,17.6,17.31,11.24,6.07,-0.29,6.07
2024,14,Calvin Austin III,WR,7.46,7.46,1.4,6.06,0.0,6.06
2024,14,Chris Brooks,RB,6.45,6.36,0.3,6.06,-0.09,6.06
2025,12,Olamide Zaccheaus,WR,7.85,7.66,1.6,6.06,-0.19,6.06
2025,4,Juwan Johnson,TE,10.71,11.85,5.8,6.05,1.14,6.05
2025,4,Geno Smith,QB,16.06,15.83,9.78,6.05,-0.23,6.05
2024,10,Garrett Wilson,WR,15.34,15.15,9.1,6.05,-0.19,6.05
