player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Chase Claypool,42312,WR,PIT,1,5,0,25,0,,0,,,0,0,,0,0.61,0,0,,46.5,0,0,0.0,0,3,100.0,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,16.0,2,50.0,100.0,1,1,0.0,0,-0.2,1,0,77.3,55.5,0,25,0.0,0,33,46.7,1,90.9,30,95.8,2,6.7,0,25,10,10.0,25.0,0.83
J.D. McKissic,11047,HB,WAS,1,5,0,32,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,-2.5,0,50.0,,0,0,0.0,0,0.56,0,0,75.6,53.8,0,7,0.0,0,5,60.0,1,100.0,5,58.3,2,40.0,0,7,8,8.0,7.0,1.4
Saquon Barkley,45791,HB,NYG,1,5,0,21,0,-5.0,0,100.0,,0,0,0.0,0,-1.0,0,0,78.7,64.5,0,-3,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,-3,2,2.0,-3.0,-1.5,,0,,,0,0,,0,0.0,0,0,36.2,39.9,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Marcus Johnson,11074,WR,NYG,1,5,0,21,0,,0,,,0,0,,0,-0.58,0,0,,51.3,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,3.0,0,100.0,100.0,1,1,0.0,0,-0.68,0,0,68.3,50.2,0,3,0.0,0,5,20.0,1,100.0,5,79.2,1,20.0,0,3,0,0.0,3.0,0.6
Mark Andrews,47436,TE,BLT,1,5,0,3,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,7.8,0,50.0,0.0,0,2,0.0,0,-0.68,1,0,73.4,69.1,0,22,0.0,0,7,28.6,2,100.0,7,72.9,4,57.1,0,28,11,5.5,14.0,4.0
Dante Pettis,48113,WR,CHI,1,5,0,6,0,0.0,0,100.0,,0,0,0.0,0,0.02,0,0,78.7,53.8,0,0,0.0,0,6,50.0,1,100.0,6,79.2,1,16.7,0,0,0,0.0,0.0,0.0,18.5,0,50.0,0.0,0,1,0.0,0,-0.7,0,0,77.3,56.3,0,12,12.5,1,8,33.3,1,62.5,5,68.8,2,40.0,0,12,0,0.0,12.0,2.4
Darnell Mooney,48236,WR,CHI,1,5,0,6,0,-1.0,0,100.0,,0,0,0.0,0,0.0,0,0,78.7,51.8,0,8,0.0,0,9,44.4,1,100.0,9,100.0,1,11.1,0,8,9,9.0,8.0,0.89,-1.0,0,100.0,,0,0,0.0,0,-0.31,0,0,73.4,66.2,0,8,0.0,0,17,53.8,1,76.5,13,100.0,1,7.7,0,8,9,9.0,8.0,0.62
George Kittle,11901,TE,SF,1,4,0,28,0,-3.0,0,100.0,,0,0,0.0,0,0.31,0,0,78.7,54.1,0,9,25.0,1,4,75.0,1,75.0,3,104.2,1,33.3,0,9,12,12.0,9.0,3.0,10.0,0,0.0,,0,0,,0,0.6,0,0,72.1,61.1,0,0,11.1,1,9,66.7,0,88.9,8,39.6,1,12.5,0,0,0,,,0.0
James Proche II,48037,WR,BLT,1,4,0,3,0,,0,,,0,0,,0,0.15,0,0,,49.6,0,0,0.0,0,3,50.0,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,16.0,0,50.0,,0,0,0.0,0,-0.42,0,0,75.6,58.0,0,6,0.0,0,20,42.1,1,95.0,19,56.3,2,10.5,0,6,0,0.0,6.0,0.32
Irv Smith Jr.,42060,TE,MIN,1,4,0,18,0,,0,,,0,0,,0,0.77,0,0,,49.4,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.72,0,0,72.1,56.7,0,0,0.0,0,5,20.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
