player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mike Love,48376,ED,BUF,1,1,0,4,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,9,0,0,0,0,0,0,,,0,0,,,6.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,15,0,0,0,0,0,0,0.0,
Jalyn Holmes,48400,ED,MIN,14,4,0,18,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,88,0,0,0,0,0,0,,,0,2,,,1.1,,,0,0,,67.1,0,,0.0,0,0,0.0,0,3,75.0,269,2,3,0,0,0,0,0.0,
Anthony Nelson,48405,ED,TB,20,36,0,30,0,,,1.6,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,2.8,64,0,0,0,0,0,0,0.0,,0,1,-0.3,100.0,18.1,5.8,5.8,0,0,0.0,33.9,0,15,40.0,2,0,104.9,6,35,97.2,193,2,2,6,0,55,57,1.6,9.2
Jonathan Greenard,48407,ED,HST,12,32,0,13,1,,,12.3,,,0,0,,67.0,0,,50.0,1,0,0.0,0,7,21.9,57,0,0,0,0,0,0,0.0,,0,1,2.5,83.3,29.1,5.0,4.2,0,0,0.0,36.8,0,12,16.7,1,0,100.0,5,25,78.1,86,1,4,6,0,48,29,1.9,9.6
Mike Danna,48415,ED,KC,16,9,0,16,1,,,7.1,,,0,0,,67.2,0,,0.0,0,0,0.0,0,6,66.7,85,0,0,0,0,0,0,0.0,,0,1,,,1.7,,,0,0,,67.4,0,,28.6,2,0,0.0,0,2,22.2,115,5,4,0,0,0,0,0.0,
Demone Harris,48452,ED,KC,1,2,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,15.4,,,0,0,,60.5,0,,,0,0,0.0,0,2,100.0,13,0,0,0,0,0,0,0.0,
James Smith-Williams,48455,DI,WAS,12,2,0,32,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,22,0,0,0,0,0,0,,,0,0,,,5.7,,,0,0,,70.0,0,,33.3,1,0,0.0,0,2,100.0,35,2,2,0,0,0,0,0.0,
Sam Hubbard,48457,ED,CIN,13,27,0,7,0,,,1.9,,,0,0,,61.6,0,,0.0,0,0,0.0,0,3,11.1,156,2,1,0,0,0,0,0.0,,0,1,3.5,100.0,10.1,5.5,5.5,0,0,0.0,66.1,0,14,36.4,4,0,97.9,4,22,81.5,218,4,6,4,0,30,16,1.4,7.5
Tim Ward,48467,ED,KC,1,1,0,16,0,,,8.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,12,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,1,0,0,0,0,0,,
Tyquan Lewis,48475,ED,IND,17,5,0,14,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,45,0,1,0,0,0,0,,,0,1,,,2.5,,,0,0,,61.5,0,,50.0,2,0,0.0,0,5,100.0,200,4,1,0,0,0,0,0.0,
Justin Hollins,48498,ED,LA,18,77,0,26,0,,,17.4,,,0,1,,78.2,0,,,0,1,0.0,0,4,5.2,23,0,0,0,0,0,0,0.0,,0,0,9.3,71.4,33.3,12.8,9.1,0,0,0.0,63.3,0,38,20.0,1,0,113.7,5,68,88.3,204,3,4,7,0,94,65,1.5,18.8
Carl Granderson,48500,ED,NO,17,5,0,20,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,82,2,0,0,0,0,0,0.0,,0,0,,,3.7,,,0,0,,62.4,0,,,0,0,0.0,0,4,80.0,109,3,0,0,0,0,0,0.0,
Chase Winovich,48523,ED,NE,16,38,0,19,0,8.0,100.0,7.7,14.0,14.0,0,0,0.0,49.4,0,27,0.0,0,0,118.8,1,14,36.8,183,5,1,1,0,27,19,1.9,27.0,0,0,1.3,100.0,11.6,5.3,5.3,0,0,0.0,80.4,1,19,44.4,4,0,67.7,4,21,55.3,181,2,5,4,0,39,34,1.9,9.8
Bradley Chubb,48526,ED,DEN,14,55,0,10,1,,,5.7,,,0,0,,86.4,0,,50.0,2,0,0.0,0,10,18.2,176,4,1,0,0,0,0,0.0,,0,0,4.3,66.7,16.2,20.5,13.7,0,0,0.0,60.3,0,17,50.0,2,0,99.3,2,43,78.2,265,6,2,3,0,30,15,0.7,15.0
Oshane Ximines,48538,ED,NYG,4,4,0,21,0,-5.0,100.0,0.0,0.0,0.0,0,0,0.0,,0,-2,,0,0,79.2,1,0,0.0,13,0,0,1,0,-2,3,,-2.0,0,0,3.0,100.0,7.1,3.0,3.0,0,0,0.0,59.3,0,10,0.0,0,0,108.3,1,3,75.0,42,1,1,1,0,10,7,3.3,10.0
Kylie Fitts,48553,ED,ARZ,12,17,0,1,0,,,4.7,,,0,0,,61.2,0,,,0,0,0.0,0,2,11.8,43,0,0,0,0,0,0,0.0,,0,1,0.0,100.0,28.6,6.5,6.5,0,0,0.0,30.2,0,11,0.0,0,0,104.2,2,14,82.4,49,0,0,2,0,18,18,1.4,9.0
Dorance Armstrong,48557,ED,DAL,16,34,0,9,0,2.0,0.0,8.6,,2.0,0,1,100.0,84.8,0,,,0,1,39.6,0,3,8.8,35,0,0,1,0,0,0,0.0,,0,0,2.0,80.0,22.2,6.8,5.4,0,1,20.0,64.5,0,16,0.0,0,1,101.7,4,28,82.4,126,0,3,5,0,42,32,1.6,10.5
Malik Reed,48567,ED,DEN,16,61,0,10,0,2.0,100.0,5.2,2.7,2.7,0,0,0.0,51.3,0,7,0.0,0,0,86.1,3,9,14.8,173,3,3,3,0,14,8,1.8,4.7,0,2,5.8,80.0,18.0,12.3,9.8,0,0,0.0,70.6,0,30,0.0,0,0,105.8,4,51,83.6,284,5,8,5,0,47,19,1.0,11.8
Trent Harris,48575,ED,NYG,4,6,0,21,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,0,0,0,0,0,0,,,0,0,8.0,100.0,18.2,6.0,6.0,0,0,0.0,45.9,0,8,,0,0,100.0,1,6,100.0,33,1,0,1,0,8,0,1.3,8.0
Harold Landry III,48600,ED,TEN,17,139,0,31,2,,,7.4,,,0,0,,74.1,1,,16.7,1,0,0.0,0,22,15.8,299,4,3,0,0,0,0,0.0,,0,2,2.6,75.0,29.7,7.1,5.3,0,1,5.0,42.5,0,17,31.8,7,1,84.2,15,108,77.7,364,8,13,20,0,94,84,0.9,6.3
Tyler Lancaster,48604,DI,GB,17,3,0,12,0,,,4.4,,,0,0,,59.9,0,,0.0,0,0,0.0,0,2,66.7,45,0,1,0,0,0,0,0.0,,0,0,,,0.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,120,0,0,0,0,0,0,0.0,
Harrison Phillips,48690,DI,BUF,15,1,0,4,0,,,1.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,72,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,2,,65.3,0,,,0,0,0.0,0,0,0.0,147,0,0,0,0,0,0,,
Daron Payne,48698,DI,WAS,17,7,0,32,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,134,1,0,0,0,0,0,,,0,0,,,1.8,,,0,0,,59.0,1,,0.0,0,0,0.0,0,7,100.0,400,5,2,0,0,0,0,0.0,
Kingsley Keke,48718,DI,GB,15,5,0,12,0,,,1.5,,,0,0,,62.3,0,,0.0,0,0,0.0,0,1,20.0,68,2,1,0,0,0,0,0.0,,0,0,,,2.4,,,0,0,,58.7,0,,0.0,0,0,0.0,0,4,80.0,169,4,1,0,0,0,0,0.0,
Rasheem Green,48731,DI,SEA,11,18,0,29,0,,,1.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,5.6,80,0,0,0,0,0,0,0.0,,0,2,,,7.3,,,0,0,,60.5,0,,40.0,2,0,0.0,0,15,83.3,205,2,1,0,0,0,0,0.0,
Marlon Davidson,48741,DI,ATL,8,1,0,2,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,29,0,0,0,0,0,0,,,0,0,,,1.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,63,0,0,0,0,0,0,0.0,
Taven Bryan,48753,DI,JAX,16,3,0,15,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,84,1,0,0,0,0,0,,,0,0,,,0.6,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,165,0,0,0,0,0,0,0.0,
L.J. Collier,48822,DI,SEA,17,3,0,29,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,58,0,2,0,0,0,0,,,0,1,3.0,100.0,1.1,3.0,3.0,0,0,0.0,63.5,0,8,25.0,1,0,100.0,1,3,100.0,266,4,2,1,0,8,5,2.7,8.0
Michael Dogbe,48850,DI,ARZ,3,1,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,8.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,12,1,0,0,0,0,0,0.0,
Poona Ford,48875,DI,SEA,17,1,0,29,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,71,0,1,0,0,0,0,,,0,2,,,0.3,,,1,0,,77.6,0,,0.0,0,0,0.0,0,1,100.0,337,8,8,0,0,0,0,0.0,
Hercules Mata'afa,48931,ED,MIN,13,2,0,18,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,38,0,0,0,0,0,0,,,0,0,,,1.4,,,0,0,,64.1,0,,33.3,1,0,0.0,0,2,100.0,141,2,2,0,0,0,0,0.0,
Taylor Stallworth,48935,DI,IND,17,3,0,14,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,26,0,0,0,0,0,0,,,0,1,13.0,100.0,2.8,3.0,3.0,0,0,0.0,59.4,0,14,50.0,1,0,118.8,1,3,100.0,109,0,0,1,0,14,1,4.7,14.0
Justin Jones,48940,DI,LAC,13,2,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,64,0,0,0,0,0,0,,,0,0,8.0,100.0,0.5,1.0,1.0,0,0,0.0,64.0,0,8,0.0,0,0,100.0,1,1,50.0,221,3,3,1,0,8,0,8.0,8.0
Vita Vea,48956,DI,TB,7,5,0,30,1,,,0.0,,,0,0,,61.7,0,,0.0,0,0,0.0,0,0,0.0,54,0,0,0,0,0,0,,,0,0,,,2.5,,,0,0,,57.0,0,,100.0,1,0,0.0,0,3,60.0,120,2,0,0,0,0,0,0.0,
