player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Brock Wright,60994,TE,DET,1,1,0,11,2.0,0,100.0,,0,0,0.0,0,0.09,1,0,64.7,86.9,0,29,0.0,0,7,28.6,1,100.0,7,118.8,1,14.3,0,29,27,27.0,29.0,4.14,0,,0,,,0,0,,0,0.45,0,0,,52.2,0,0,20.0,2,10,60.0,0,80.0,8,0.0,0,0.0,0,0,0,,,0.0
Bo Melton,61610,WR,GB,1,1,0,12,,0,,,0,0,,0,0.0,0,0,,59.7,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,,0,28.0,0,100.0,,0,0,0.0,0,0.26,1,0,64.7,66.8,0,19,0.0,0,9,57.1,1,77.8,7,158.3,1,14.3,1,19,0,0.0,19.0,2.71
Justin Watson,66915,WR,KC,1,1,0,16,19.0,0,0.0,0.0,0,1,100.0,1,0.02,0,0,,54.5,0,0,0.0,0,6,50.0,0,66.7,4,39.6,1,25.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0.22,0,0,,54.8,0,0,0.0,0,5,50.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Ben Sims,77918,TE,GB,1,1,0,12,,0,,,0,0,,0,0.0,0,0,,59.6,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,,0,2.0,0,100.0,,0,0,0.0,0,-0.11,0,0,64.7,62.6,0,4,0.0,0,1,0.0,1,100.0,1,83.3,1,100.0,0,4,2,2.0,4.0,4.0
Odell Beckham Jr.,8647,WR,BLT,1,1,0,3,,0,,,0,0,,0,0.11,0,0,,56.9,0,0,0.0,0,4,50.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,100.0,100.0,1,1,0.0,0,0.27,1,0,64.7,73.8,0,12,0.0,0,4,50.0,1,100.0,4,116.7,1,25.0,0,12,0,0.0,12.0,3.0
Isiah Pacheco,83747,HB,KC,1,1,0,16,,0,,,0,0,,0,1.25,0,0,,56.9,0,0,33.3,1,3,100.0,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,2.0,1,100.0,,0,0,0.0,0,0.93,1,0,68.3,70.9,0,14,0.0,0,10,66.7,1,90.0,9,118.8,1,11.1,0,14,12,12.0,14.0,1.56
Ty Johnson,45769,HB,BUF,1,1,0,4,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,3.0,0,100.0,,0,0,0.0,0,0.14,1,0,64.7,62.3,0,14,14.3,1,7,42.9,1,85.7,6,118.8,1,16.7,0,14,11,11.0,14.0,2.33
Mecole Hardman Jr.,42683,WR,KC,1,1,0,16,,0,,,0,0,,0,-0.28,0,0,,58.2,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-3.0,0,100.0,,0,0,0.0,0,-0.24,0,1,64.7,28.2,0,2,0.0,0,7,57.1,1,100.0,7,79.2,1,14.3,0,2,5,5.0,2.0,0.29
Dawson Knox,35883,TE,BUF,1,1,0,4,,0,,,0,0,,0,0.51,0,0,,58.8,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,0,100.0,,0,0,0.0,0,0.05,1,0,64.7,64.5,0,4,0.0,0,12,50.0,1,100.0,12,83.3,1,8.3,0,4,5,5.0,4.0,0.33
Dare Ogunbowale,12329,HB,HST,1,1,0,13,,0,,,0,0,,0,-1.43,0,0,,57.6,0,0,33.3,1,3,33.3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0.02,0,0,,56.2,0,0,25.0,2,8,37.5,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Deven Thompkins,84480,WR,TB,1,1,0,30,-1.0,0,0.0,,0,0,,0,1.37,0,0,,57.8,0,0,0.0,0,2,50.0,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0.96,0,0,,55.5,0,0,0.0,0,6,80.0,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0
Deonte Harty,91470,WR,BUF,1,1,0,4,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,-4.0,0,100.0,,0,0,0.0,0,0.16,0,0,64.7,57.3,0,3,0.0,0,6,16.7,1,100.0,6,79.2,1,16.7,0,3,7,7.0,3.0,0.5
David Moore,11981,WR,TB,1,1,0,30,,0,,,0,0,,0,0.54,0,0,,54.9,0,0,0.0,0,4,50.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,0.66,0,0,,56.0,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Emanuel Wilson,154173,HB,GB,1,1,0,12,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,-5.0,0,100.0,,0,0,0.0,0,1.54,1,0,64.7,81.7,0,11,0.0,0,1,100.0,1,100.0,1,112.5,1,100.0,0,11,16,16.0,11.0,11.0
