player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Zach Pascal,12303,WR,ARZ,1,1,0,1,0,,0,,,0,0,,0,-0.89,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,2.0,0,0.0,,0,0,,0,-0.63,0,0,,56.8,0,0,0.0,0,1,0.0,0,100.0,1,39.6,1,100.0,0,0,0,,,0.0
Malik Heath,124173,WR,GB,1,1,0,12,0,,0,,,0,0,,0,1.19,0,0,,50.7,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.55,0,0,,53.8,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Jalin Hyatt,124282,WR,NYG,1,1,0,21,0,,0,,,0,0,,0,-0.02,0,0,,53.6,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.47,0,0,27.9,46.9,0,0,0.0,0,4,25.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Joshua Kelley,13750,HB,LAC,1,1,0,27,0,,0,,,0,0,,0,-0.31,0,0,,42.2,0,0,0.0,0,6,50.0,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.29,0,0,,49.0,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jake Funk,45835,HB,IND,1,1,0,14,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,64.7,62.1,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,
Randall Cobb,6216,WR,NYJ,1,1,0,22,0,,0,,,0,0,,0,0.11,0,0,,52.8,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,14.0,0,0.0,,0,0,,0,0.06,0,0,,52.1,1,0,0.0,0,14,42.9,0,100.0,14,0.0,1,7.1,0,0,0,,,0.0
C.J. Stroud,129759,QB,HST,1,1,0,13,0,,0,,,0,0,,0,-0.33,0,0,,,0,0,0.0,0,7,28.6,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Giovanni Ricci,13756,TE,CAR,1,1,0,5,0,,0,,,0,0,,0,-0.39,0,0,,53.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.03,0,0,,55.5,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Evan Hull,97302,HB,IND,1,1,0,14,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,70.5,64.7,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Khari Blasingame,44889,FB,CHI,1,1,0,6,0,,0,,,0,0,,0,-1.42,0,0,,53.2,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.42,0,0,,56.4,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Sterling Shepard,10674,WR,NYG,1,1,0,21,0,,0,,,0,0,,0,-0.65,0,0,,55.1,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-1.24,0,0,,53.7,0,0,0.0,0,4,33.3,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Breece Hall,97636,HB,NYJ,1,1,0,22,0,-4.0,0,100.0,,0,0,0.0,0,0.76,1,0,78.7,94.4,0,20,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,20,24,24.0,20.0,10.0,,0,,,0,0,,0,0.0,0,0,68.3,73.3,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
DeAndre Carter,9859,WR,LV,1,1,0,23,0,-2.0,0,100.0,,0,0,0.0,0,0.11,0,0,78.7,63.6,0,5,0.0,0,1,100.0,1,100.0,1,87.5,1,100.0,0,5,7,7.0,5.0,5.0,-2.0,0,100.0,,0,0,0.0,0,0.27,0,0,64.7,58.1,0,5,0.0,0,4,66.7,1,75.0,3,87.5,1,33.3,0,5,7,7.0,5.0,1.67
